type	time	latitude	longitude	altitude (m)	name	desc
T	2013-11-12 12:53:15	50.379381000	-4.135775000	55.7	Gopro test over South Hams	
T	2013-11-12 12:53:16	50.379458000	-4.135858000	55.4		
T	2013-11-12 12:53:18	50.379626000	-4.136038000	54.4		
T	2013-11-12 12:53:30	50.379661000	-4.136040000	54.0		
T	2013-11-12 12:53:33	50.379641000	-4.135987000	54.4		
T	2013-11-12 12:53:39	50.379620000	-4.135943000	54.8		
T	2013-11-12 12:53:40	50.379604000	-4.135906000	55.0		
T	2013-11-12 12:53:42	50.379581000	-4.135835000	55.5		
T	2013-11-12 12:53:44	50.379553000	-4.135761000	55.8		
T	2013-11-12 12:53:45	50.379534000	-4.135718000	55.9		
T	2013-11-12 12:53:46	50.379518000	-4.135666000	56.1		
T	2013-11-12 12:53:47	50.379505000	-4.135606000	56.3		
T	2013-11-12 12:53:48	50.379489000	-4.135548000	56.5		
T	2013-11-12 12:53:49	50.379471000	-4.135491000	56.7		
T	2013-11-12 12:53:50	50.379456000	-4.135429000	57.0		
T	2013-11-12 12:53:51	50.379435000	-4.135357000	57.2		
T	2013-11-12 12:53:52	50.379413000	-4.135292000	57.5		
T	2013-11-12 12:53:53	50.379396000	-4.135231000	57.7		
T	2013-11-12 12:53:54	50.379377000	-4.135176000	57.9		
T	2013-11-12 12:53:55	50.379357000	-4.135115000	58.2		
T	2013-11-12 12:53:56	50.379334000	-4.135058000	58.4		
T	2013-11-12 12:53:57	50.379314000	-4.135001000	58.7		
T	2013-11-12 12:53:58	50.379295000	-4.134945000	58.9		
T	2013-11-12 12:53:59	50.379281000	-4.134882000	59.2		
T	2013-11-12 12:54:00	50.379257000	-4.134801000	59.5		
T	2013-11-12 12:54:01	50.379235000	-4.134716000	59.9		
T	2013-11-12 12:54:02	50.379218000	-4.134644000	60.2		
T	2013-11-12 12:54:03	50.379210000	-4.134590000	60.4		
T	2013-11-12 12:54:11	50.379204000	-4.134547000	60.5		
T	2013-11-12 12:54:13	50.379164000	-4.134550000	60.5		
T	2013-11-12 12:54:14	50.379126000	-4.134563000	60.6		
T	2013-11-12 12:54:15	50.379088000	-4.134584000	60.6		
T	2013-11-12 12:54:16	50.379053000	-4.134608000	60.5		
T	2013-11-12 12:54:17	50.379013000	-4.134636000	60.5		
T	2013-11-12 12:54:18	50.378962000	-4.134675000	60.3		
T	2013-11-12 12:54:19	50.378917000	-4.134714000	60.2		
T	2013-11-12 12:54:20	50.378866000	-4.134762000	60.0		
T	2013-11-12 12:54:21	50.378803000	-4.134822000	59.8		
T	2013-11-12 12:54:22	50.378754000	-4.134899000	59.5		
T	2013-11-12 12:54:23	50.378683000	-4.134960000	58.8		
T	2013-11-12 12:54:24	50.378604000	-4.135026000	58.0		
T	2013-11-12 12:54:25	50.378533000	-4.135074000	57.4		
T	2013-11-12 12:54:26	50.378479000	-4.135103000	57.0		
T	2013-11-12 12:54:27	50.378418000	-4.135124000	56.5		
T	2013-11-12 12:54:28	50.378372000	-4.135105000	56.3		
T	2013-11-12 12:54:29	50.378351000	-4.135044000	56.4		
T	2013-11-12 12:54:30	50.378347000	-4.134967000	56.7		
T	2013-11-12 12:54:31	50.378345000	-4.134887000	57.0		
T	2013-11-12 12:54:32	50.378341000	-4.134807000	57.2		
T	2013-11-12 12:54:33	50.378333000	-4.134730000	57.5		
T	2013-11-12 12:54:34	50.378325000	-4.134653000	57.7		
T	2013-11-12 12:54:35	50.378315000	-4.134575000	57.9		
T	2013-11-12 12:54:36	50.378306000	-4.134498000	57.9		
T	2013-11-12 12:54:37	50.378296000	-4.134425000	57.9		
T	2013-11-12 12:54:38	50.378281000	-4.134341000	57.9		
T	2013-11-12 12:54:39	50.378264000	-4.134247000	57.9		
T	2013-11-12 12:54:40	50.378246000	-4.134157000	57.9		
T	2013-11-12 12:54:41	50.378222000	-4.134064000	57.8		
T	2013-11-12 12:54:42	50.378198000	-4.133965000	57.8		
T	2013-11-12 12:54:43	50.378175000	-4.133857000	57.7		
T	2013-11-12 12:54:44	50.378156000	-4.133748000	57.7		
T	2013-11-12 12:54:45	50.378139000	-4.133649000	57.8		
T	2013-11-12 12:54:46	50.378123000	-4.133541000	57.8		
T	2013-11-12 12:54:47	50.378108000	-4.133440000	57.8		
T	2013-11-12 12:54:48	50.378093000	-4.133335000	57.9		
T	2013-11-12 12:54:49	50.378078000	-4.133229000	57.9		
T	2013-11-12 12:54:50	50.378065000	-4.133109000	58.0		
T	2013-11-12 12:54:51	50.378049000	-4.133000000	58.0		
T	2013-11-12 12:54:52	50.378036000	-4.132879000	58.0		
T	2013-11-12 12:54:53	50.378027000	-4.132753000	58.1		
T	2013-11-12 12:54:54	50.378017000	-4.132617000	58.2		
T	2013-11-12 12:54:55	50.378014000	-4.132487000	58.3		
T	2013-11-12 12:54:56	50.378014000	-4.132362000	58.4		
T	2013-11-12 12:54:57	50.378014000	-4.132240000	58.5		
T	2013-11-12 12:54:58	50.378017000	-4.132112000	58.7		
T	2013-11-12 12:54:59	50.378019000	-4.131992000	58.9		
T	2013-11-12 12:55:00	50.378019000	-4.131876000	59.2		
T	2013-11-12 12:55:01	50.378018000	-4.131755000	59.5		
T	2013-11-12 12:55:02	50.378014000	-4.131636000	59.7		
T	2013-11-12 12:55:03	50.378010000	-4.131527000	59.9		
T	2013-11-12 12:55:04	50.378009000	-4.131413000	60.2		
T	2013-11-12 12:55:05	50.378009000	-4.131289000	60.5		
T	2013-11-12 12:55:06	50.378012000	-4.131177000	60.6		
T	2013-11-12 12:55:07	50.378016000	-4.131074000	60.8		
T	2013-11-12 12:55:08	50.378021000	-4.130990000	60.9		
T	2013-11-12 12:55:09	50.378025000	-4.130919000	60.9		
T	2013-11-12 12:55:10	50.378027000	-4.130871000	61.0		
T	2013-11-12 12:55:12	50.378030000	-4.130807000	61.1		
T	2013-11-12 12:55:16	50.378016000	-4.130763000	61.0		
T	2013-11-12 12:55:17	50.377994000	-4.130726000	61.0		
T	2013-11-12 12:55:18	50.377964000	-4.130698000	60.9		
T	2013-11-12 12:55:19	50.377925000	-4.130695000	60.7		
T	2013-11-12 12:55:20	50.377894000	-4.130687000	60.6		
T	2013-11-12 12:55:21	50.377860000	-4.130681000	60.4		
T	2013-11-12 12:55:22	50.377814000	-4.130675000	60.2		
T	2013-11-12 12:55:23	50.377753000	-4.130667000	59.9		
T	2013-11-12 12:55:24	50.377691000	-4.130664000	59.6		
T	2013-11-12 12:55:25	50.377614000	-4.130660000	59.3		
T	2013-11-12 12:55:26	50.377533000	-4.130653000	58.9		
T	2013-11-12 12:55:27	50.377446000	-4.130641000	58.5		
T	2013-11-12 12:55:28	50.377355000	-4.130631000	58.0		
T	2013-11-12 12:55:29	50.377248000	-4.130617000	57.6		
T	2013-11-12 12:55:30	50.377144000	-4.130604000	57.1		
T	2013-11-12 12:55:31	50.377030000	-4.130594000	56.4		
T	2013-11-12 12:55:32	50.376909000	-4.130581000	55.4		
T	2013-11-12 12:55:33	50.376774000	-4.130569000	54.3		
T	2013-11-12 12:55:34	50.376633000	-4.130560000	53.1		
T	2013-11-12 12:55:35	50.376499000	-4.130549000	52.0		
T	2013-11-12 12:55:36	50.376356000	-4.130532000	50.9		
T	2013-11-12 12:55:37	50.376214000	-4.130516000	49.7		
T	2013-11-12 12:55:38	50.376078000	-4.130499000	48.6		
T	2013-11-12 12:55:39	50.375944000	-4.130476000	47.4		
T	2013-11-12 12:55:40	50.375803000	-4.130454000	46.2		
T	2013-11-12 12:55:41	50.375670000	-4.130429000	45.1		
T	2013-11-12 12:55:42	50.375549000	-4.130405000	44.1		
T	2013-11-12 12:55:43	50.375441000	-4.130386000	43.2		
T	2013-11-12 12:55:44	50.375340000	-4.130371000	42.4		
T	2013-11-12 12:55:45	50.375236000	-4.130363000	41.5		
T	2013-11-12 12:55:46	50.375150000	-4.130356000	40.7		
T	2013-11-12 12:55:47	50.375083000	-4.130347000	40.2		
T	2013-11-12 12:55:48	50.375030000	-4.130341000	39.7		
T	2013-11-12 12:55:49	50.374984000	-4.130334000	39.3		
T	2013-11-12 12:55:50	50.374945000	-4.130322000	39.0		
T	2013-11-12 12:55:51	50.374917000	-4.130307000	38.7		
T	2013-11-12 12:55:53	50.374874000	-4.130252000	38.3		
T	2013-11-12 12:56:12	50.374861000	-4.130228000	38.2		
T	2013-11-12 12:56:25	50.374847000	-4.130204000	38.0		
T	2013-11-12 12:56:26	50.374828000	-4.130170000	37.8		
T	2013-11-12 12:56:27	50.374760000	-4.130143000	37.2		
T	2013-11-12 12:56:28	50.374683000	-4.130110000	36.5		
T	2013-11-12 12:56:29	50.374598000	-4.130028000	35.7		
T	2013-11-12 12:56:30	50.374516000	-4.129945000	34.9		
T	2013-11-12 12:56:31	50.374446000	-4.129875000	34.4		
T	2013-11-12 12:56:32	50.374368000	-4.129803000	33.8		
T	2013-11-12 12:56:33	50.374282000	-4.129721000	33.2		
T	2013-11-12 12:56:34	50.374205000	-4.129644000	32.7		
T	2013-11-12 12:56:35	50.374144000	-4.129579000	32.4		
T	2013-11-12 12:56:36	50.374082000	-4.129517000	31.8		
T	2013-11-12 12:56:37	50.374030000	-4.129466000	31.4		
T	2013-11-12 12:56:38	50.373986000	-4.129421000	31.0		
T	2013-11-12 12:56:39	50.373955000	-4.129386000	30.7		
T	2013-11-12 12:56:40	50.373930000	-4.129353000	30.5		
T	2013-11-12 12:56:41	50.373902000	-4.129318000	30.2		
T	2013-11-12 12:56:42	50.373863000	-4.129268000	29.9		
T	2013-11-12 12:56:43	50.373809000	-4.129199000	29.4		
T	2013-11-12 12:56:44	50.373744000	-4.129127000	28.8		
T	2013-11-12 12:56:45	50.373680000	-4.129060000	28.0		
T	2013-11-12 12:56:46	50.373608000	-4.128985000	27.2		
T	2013-11-12 12:56:47	50.373537000	-4.128910000	26.3		
T	2013-11-12 12:56:48	50.373470000	-4.128837000	25.5		
T	2013-11-12 12:56:49	50.373409000	-4.128766000	24.8		
T	2013-11-12 12:56:50	50.373362000	-4.128714000	24.2		
T	2013-11-12 12:56:51	50.373327000	-4.128671000	23.7		
T	2013-11-12 12:56:52	50.373295000	-4.128626000	23.3		
T	2013-11-12 12:56:53	50.373275000	-4.128594000	23.1		
T	2013-11-12 12:56:54	50.373253000	-4.128555000	22.8		
T	2013-11-12 12:56:55	50.373221000	-4.128503000	22.3		
T	2013-11-12 12:56:56	50.373187000	-4.128456000	21.9		
T	2013-11-12 12:56:57	50.373145000	-4.128402000	21.4		
T	2013-11-12 12:56:58	50.373091000	-4.128338000	20.7		
T	2013-11-12 12:56:59	50.373025000	-4.128264000	19.9		
T	2013-11-12 12:57:00	50.372959000	-4.128190000	19.1		
T	2013-11-12 12:57:01	50.372894000	-4.128121000	18.3		
T	2013-11-12 12:57:02	50.372829000	-4.128051000	17.6		
T	2013-11-12 12:57:03	50.372760000	-4.127975000	16.8		
T	2013-11-12 12:57:04	50.372684000	-4.127892000	16.0		
T	2013-11-12 12:57:05	50.372604000	-4.127806000	15.3		
T	2013-11-12 12:57:06	50.372521000	-4.127716000	14.7		
T	2013-11-12 12:57:07	50.372435000	-4.127624000	14.0		
T	2013-11-12 12:57:08	50.372349000	-4.127533000	13.4		
T	2013-11-12 12:57:09	50.372261000	-4.127436000	12.8		
T	2013-11-12 12:57:10	50.372169000	-4.127334000	12.3		
T	2013-11-12 12:57:11	50.372083000	-4.127234000	11.8		
T	2013-11-12 12:57:12	50.372001000	-4.127139000	11.9		
T	2013-11-12 12:57:13	50.371920000	-4.127038000	12.1		
T	2013-11-12 12:57:14	50.371838000	-4.126940000	12.3		
T	2013-11-12 12:57:15	50.371754000	-4.126843000	12.6		
T	2013-11-12 12:57:16	50.371668000	-4.126748000	13.0		
T	2013-11-12 12:57:17	50.371585000	-4.126658000	13.4		
T	2013-11-12 12:57:18	50.371504000	-4.126570000	13.9		
T	2013-11-12 12:57:19	50.371422000	-4.126482000	14.4		
T	2013-11-12 12:57:20	50.371344000	-4.126390000	15.0		
T	2013-11-12 12:57:21	50.371280000	-4.126275000	15.8		
T	2013-11-12 12:57:22	50.371217000	-4.126164000	16.0		
T	2013-11-12 12:57:23	50.371159000	-4.126054000	16.0		
T	2013-11-12 12:57:24	50.371097000	-4.125933000	16.0		
T	2013-11-12 12:57:25	50.371035000	-4.125817000	16.0		
T	2013-11-12 12:57:26	50.370963000	-4.125703000	16.0		
T	2013-11-12 12:57:27	50.370890000	-4.125595000	15.9		
T	2013-11-12 12:57:28	50.370812000	-4.125484000	15.9		
T	2013-11-12 12:57:29	50.370730000	-4.125364000	15.9		
T	2013-11-12 12:57:30	50.370656000	-4.125235000	15.9		
T	2013-11-12 12:57:31	50.370595000	-4.125103000	16.1		
T	2013-11-12 12:57:32	50.370551000	-4.124950000	16.4		
T	2013-11-12 12:57:33	50.370503000	-4.124799000	16.6		
T	2013-11-12 12:57:34	50.370453000	-4.124654000	16.9		
T	2013-11-12 12:57:35	50.370403000	-4.124508000	17.0		
T	2013-11-12 12:57:36	50.370344000	-4.124358000	16.7		
T	2013-11-12 12:57:37	50.370285000	-4.124215000	16.5		
T	2013-11-12 12:57:38	50.370231000	-4.124064000	16.3		
T	2013-11-12 12:57:39	50.370203000	-4.123891000	16.2		
T	2013-11-12 12:57:40	50.370209000	-4.123713000	16.2		
T	2013-11-12 12:57:41	50.370223000	-4.123540000	16.2		
T	2013-11-12 12:57:42	50.370248000	-4.123370000	16.3		
T	2013-11-12 12:57:43	50.370278000	-4.123199000	16.4		
T	2013-11-12 12:57:44	50.370309000	-4.123027000	16.5		
T	2013-11-12 12:57:45	50.370340000	-4.122860000	16.6		
T	2013-11-12 12:57:46	50.370374000	-4.122689000	16.8		
T	2013-11-12 12:57:47	50.370407000	-4.122526000	17.0		
T	2013-11-12 12:57:48	50.370439000	-4.122355000	17.1		
T	2013-11-12 12:57:49	50.370473000	-4.122183000	17.1		
T	2013-11-12 12:57:50	50.370505000	-4.122013000	17.1		
T	2013-11-12 12:57:51	50.370535000	-4.121852000	17.0		
T	2013-11-12 12:57:52	50.370565000	-4.121690000	17.0		
T	2013-11-12 12:57:53	50.370596000	-4.121512000	16.9		
T	2013-11-12 12:57:54	50.370625000	-4.121341000	16.8		
T	2013-11-12 12:57:55	50.370654000	-4.121175000	16.9		
T	2013-11-12 12:57:56	50.370684000	-4.121008000	17.0		
T	2013-11-12 12:57:57	50.370713000	-4.120842000	17.1		
T	2013-11-12 12:57:58	50.370742000	-4.120681000	17.2		
T	2013-11-12 12:57:59	50.370772000	-4.120520000	17.3		
T	2013-11-12 12:58:00	50.370803000	-4.120355000	17.3		
T	2013-11-12 12:58:01	50.370834000	-4.120188000	17.2		
T	2013-11-12 12:58:02	50.370864000	-4.120021000	17.1		
T	2013-11-12 12:58:03	50.370893000	-4.119856000	17.0		
T	2013-11-12 12:58:04	50.370922000	-4.119688000	16.9		
T	2013-11-12 12:58:05	50.370951000	-4.119517000	16.8		
T	2013-11-12 12:58:06	50.370980000	-4.119354000	16.5		
T	2013-11-12 12:58:07	50.371005000	-4.119196000	16.2		
T	2013-11-12 12:58:08	50.371028000	-4.119035000	15.9		
T	2013-11-12 12:58:09	50.371053000	-4.118872000	15.6		
T	2013-11-12 12:58:10	50.371076000	-4.118711000	15.3		
T	2013-11-12 12:58:11	50.371098000	-4.118545000	14.9		
T	2013-11-12 12:58:12	50.371115000	-4.118368000	14.5		
T	2013-11-12 12:58:13	50.371125000	-4.118189000	14.1		
T	2013-11-12 12:58:14	50.371133000	-4.117999000	13.6		
T	2013-11-12 12:58:15	50.371138000	-4.117823000	13.4		
T	2013-11-12 12:58:16	50.371139000	-4.117675000	13.4		
T	2013-11-12 12:58:17	50.371135000	-4.117523000	13.4		
T	2013-11-12 12:58:18	50.371128000	-4.117389000	13.3		
T	2013-11-12 12:58:19	50.371123000	-4.117201000	13.3		
T	2013-11-12 12:58:20	50.371117000	-4.117041000	13.2		
T	2013-11-12 12:58:21	50.371104000	-4.116890000	12.9		
T	2013-11-12 12:58:22	50.371096000	-4.116738000	12.7		
T	2013-11-12 12:58:23	50.371087000	-4.116593000	12.4		
T	2013-11-12 12:58:24	50.371077000	-4.116448000	12.2		
T	2013-11-12 12:58:25	50.371068000	-4.116299000	12.0		
T	2013-11-12 12:58:26	50.371059000	-4.116145000	11.6		
T	2013-11-12 12:58:27	50.371048000	-4.115997000	11.3		
T	2013-11-12 12:58:28	50.371037000	-4.115847000	10.9		
T	2013-11-12 12:58:29	50.371022000	-4.115681000	10.5		
T	2013-11-12 12:58:30	50.371007000	-4.115519000	10.0		
T	2013-11-12 12:58:31	50.370994000	-4.115384000	9.7		
T	2013-11-12 12:58:32	50.370984000	-4.115271000	9.4		
T	2013-11-12 12:58:33	50.370973000	-4.115168000	9.1		
T	2013-11-12 12:58:34	50.370964000	-4.115081000	8.8		
T	2013-11-12 12:58:35	50.370958000	-4.115008000	8.6		
T	2013-11-12 12:58:36	50.370953000	-4.114952000	8.5		
T	2013-11-12 12:58:37	50.370952000	-4.114908000	8.3		
T	2013-11-12 12:58:39	50.370948000	-4.114855000	8.2		
T	2013-11-12 12:59:05	50.370927000	-4.114778000	7.9		
T	2013-11-12 12:59:08	50.370922000	-4.114728000	7.8		
T	2013-11-12 12:59:09	50.370920000	-4.114684000	7.7		
T	2013-11-12 12:59:10	50.370917000	-4.114619000	7.5		
T	2013-11-12 12:59:11	50.370912000	-4.114528000	7.3		
T	2013-11-12 12:59:12	50.370912000	-4.114452000	7.2		
T	2013-11-12 12:59:13	50.370916000	-4.114382000	7.1		
T	2013-11-12 12:59:14	50.370919000	-4.114308000	7.0		
T	2013-11-12 12:59:15	50.370919000	-4.114205000	6.9		
T	2013-11-12 12:59:16	50.370914000	-4.114100000	6.7		
T	2013-11-12 12:59:17	50.370908000	-4.113986000	6.5		
T	2013-11-12 12:59:18	50.370898000	-4.113857000	6.3		
T	2013-11-12 12:59:19	50.370883000	-4.113737000	6.1		
T	2013-11-12 12:59:20	50.370864000	-4.113619000	5.8		
T	2013-11-12 12:59:21	50.370841000	-4.113501000	5.6		
T	2013-11-12 12:59:22	50.370812000	-4.113377000	5.3		
T	2013-11-12 12:59:23	50.370780000	-4.113252000	5.1		
T	2013-11-12 12:59:24	50.370744000	-4.113122000	4.9		
T	2013-11-12 12:59:25	50.370705000	-4.112978000	4.7		
T	2013-11-12 12:59:26	50.370667000	-4.112845000	4.7		
T	2013-11-12 12:59:27	50.370627000	-4.112705000	4.7		
T	2013-11-12 12:59:28	50.370584000	-4.112555000	4.8		
T	2013-11-12 12:59:29	50.370539000	-4.112404000	4.9		
T	2013-11-12 12:59:30	50.370493000	-4.112243000	4.9		
T	2013-11-12 12:59:31	50.370449000	-4.112090000	5.0		
T	2013-11-12 12:59:32	50.370406000	-4.111944000	5.0		
T	2013-11-12 12:59:33	50.370365000	-4.111812000	5.2		
T	2013-11-12 12:59:34	50.370323000	-4.111679000	5.4		
T	2013-11-12 12:59:35	50.370278000	-4.111552000	5.6		
T	2013-11-12 12:59:36	50.370226000	-4.111422000	5.9		
T	2013-11-12 12:59:37	50.370170000	-4.111302000	6.2		
T	2013-11-12 12:59:38	50.370112000	-4.111186000	6.3		
T	2013-11-12 12:59:39	50.370057000	-4.111082000	6.3		
T	2013-11-12 12:59:40	50.370005000	-4.110983000	6.3		
T	2013-11-12 12:59:41	50.369953000	-4.110884000	6.3		
T	2013-11-12 12:59:42	50.369903000	-4.110792000	6.4		
T	2013-11-12 12:59:43	50.369855000	-4.110706000	6.4		
T	2013-11-12 12:59:44	50.369814000	-4.110634000	6.4		
T	2013-11-12 12:59:45	50.369768000	-4.110545000	6.4		
T	2013-11-12 12:59:46	50.369727000	-4.110458000	6.4		
T	2013-11-12 12:59:47	50.369687000	-4.110371000	4.2		
T	2013-11-12 12:59:48	50.369647000	-4.110284000	3.8		
T	2013-11-12 12:59:49	50.369601000	-4.110190000	3.2		
T	2013-11-12 12:59:50	50.369555000	-4.110101000	5.9		
T	2013-11-12 12:59:51	50.369507000	-4.110012000	5.6		
T	2013-11-12 12:59:52	50.369461000	-4.109923000	5.3		
T	2013-11-12 12:59:53	50.369416000	-4.109837000	5.0		
T	2013-11-12 12:59:54	50.369367000	-4.109745000	4.6		
T	2013-11-12 12:59:55	50.369320000	-4.109657000	4.3		
T	2013-11-12 12:59:56	50.369274000	-4.109569000	4.1		
T	2013-11-12 12:59:57	50.369228000	-4.109483000	4.4		
T	2013-11-12 12:59:58	50.369183000	-4.109394000	4.7		
T	2013-11-12 12:59:59	50.369139000	-4.109309000	5.2		
T	2013-11-12 13:00:00	50.369093000	-4.109221000	5.8		
T	2013-11-12 13:00:01	50.369049000	-4.109140000	6.4		
T	2013-11-12 13:00:02	50.369008000	-4.109060000	6.8		
T	2013-11-12 13:00:03	50.368965000	-4.108978000	6.9		
T	2013-11-12 13:00:04	50.368917000	-4.108889000	7.4		
T	2013-11-12 13:00:05	50.368872000	-4.108804000	8.2		
T	2013-11-12 13:00:06	50.368827000	-4.108715000	9.1		
T	2013-11-12 13:00:07	50.368780000	-4.108622000	9.3		
T	2013-11-12 13:00:08	50.368739000	-4.108536000	9.1		
T	2013-11-12 13:00:09	50.368701000	-4.108450000	8.6		
T	2013-11-12 13:00:10	50.368667000	-4.108370000	8.5		
T	2013-11-12 13:00:11	50.368638000	-4.108295000	8.4		
T	2013-11-12 13:00:12	50.368619000	-4.108241000	8.4		
T	2013-11-12 13:00:13	50.368603000	-4.108199000	8.4		
T	2013-11-12 13:00:15	50.368583000	-4.108137000	8.4		
T	2013-11-12 13:00:17	50.368565000	-4.108070000	8.5		
T	2013-11-12 13:00:19	50.368547000	-4.108010000	8.3		
T	2013-11-12 13:00:20	50.368529000	-4.107967000	8.1		
T	2013-11-12 13:00:21	50.368495000	-4.107900000	7.6		
T	2013-11-12 13:00:22	50.368455000	-4.107823000	7.9		
T	2013-11-12 13:00:23	50.368417000	-4.107742000	8.5		
T	2013-11-12 13:00:24	50.368372000	-4.107656000	9.1		
T	2013-11-12 13:00:25	50.368338000	-4.107586000	9.4		
T	2013-11-12 13:00:26	50.368316000	-4.107544000	9.5		
T	2013-11-12 13:00:28	50.368266000	-4.107502000	9.3		
T	2013-11-12 13:00:29	50.368235000	-4.107474000	9.1		
T	2013-11-12 13:00:30	50.368229000	-4.107428000	9.2		
T	2013-11-12 13:00:32	50.368206000	-4.107369000	9.1		
T	2013-11-12 13:00:34	50.368175000	-4.107332000	9.0		
T	2013-11-12 13:00:41	50.368158000	-4.107284000	9.1		
T	2013-11-12 13:00:42	50.368143000	-4.107240000	9.3		
T	2013-11-12 13:00:43	50.368121000	-4.107177000	9.4		
T	2013-11-12 13:00:44	50.368093000	-4.107102000	9.6		
T	2013-11-12 13:00:45	50.368062000	-4.107024000	9.8		
T	2013-11-12 13:00:46	50.368027000	-4.106944000	10.2		
T	2013-11-12 13:00:47	50.367984000	-4.106851000	10.7		
T	2013-11-12 13:00:48	50.367946000	-4.106760000	10.9		
T	2013-11-12 13:00:49	50.367902000	-4.106654000	10.8		
T	2013-11-12 13:00:50	50.367855000	-4.106539000	10.1		
T	2013-11-12 13:00:51	50.367809000	-4.106426000	9.4		
T	2013-11-12 13:00:52	50.367765000	-4.106320000	8.9		
T	2013-11-12 13:00:53	50.367721000	-4.106209000	4.5		
T	2013-11-12 13:00:54	50.367679000	-4.106102000	4.5		
T	2013-11-12 13:00:55	50.367638000	-4.105990000	4.6		
T	2013-11-12 13:00:56	50.367599000	-4.105879000	4.6		
T	2013-11-12 13:00:57	50.367560000	-4.105768000	4.6		
T	2013-11-12 13:00:58	50.367522000	-4.105650000	4.6		
T	2013-11-12 13:00:59	50.367484000	-4.105529000	4.6		
T	2013-11-12 13:01:00	50.367447000	-4.105407000	4.6		
T	2013-11-12 13:01:01	50.367410000	-4.105288000	4.5		
T	2013-11-12 13:01:02	50.367374000	-4.105167000	4.4		
T	2013-11-12 13:01:03	50.367338000	-4.105046000	4.2		
T	2013-11-12 13:01:04	50.367301000	-4.104921000	4.0		
T	2013-11-12 13:01:05	50.367265000	-4.104802000	3.8		
T	2013-11-12 13:01:06	50.367228000	-4.104681000	3.5		
T	2013-11-12 13:01:07	50.367189000	-4.104554000	3.3		
T	2013-11-12 13:01:08	50.367156000	-4.104442000	3.4		
T	2013-11-12 13:01:09	50.367118000	-4.104323000	3.4		
T	2013-11-12 13:01:10	50.367077000	-4.104202000	3.5		
T	2013-11-12 13:01:11	50.367041000	-4.104094000	3.7		
T	2013-11-12 13:01:12	50.367004000	-4.103977000	4.0		
T	2013-11-12 13:01:13	50.366967000	-4.103866000	4.3		
T	2013-11-12 13:01:14	50.366934000	-4.103764000	4.5		
T	2013-11-12 13:01:15	50.366899000	-4.103652000	4.9		
T	2013-11-12 13:01:16	50.366869000	-4.103542000	5.3		
T	2013-11-12 13:01:17	50.366842000	-4.103440000	5.6		
T	2013-11-12 13:01:18	50.366811000	-4.103333000	6.0		
T	2013-11-12 13:01:19	50.366779000	-4.103226000	6.4		
T	2013-11-12 13:01:20	50.366748000	-4.103124000	6.7		
T	2013-11-12 13:01:21	50.366721000	-4.103032000	7.0		
T	2013-11-12 13:01:22	50.366698000	-4.102946000	7.3		
T	2013-11-12 13:01:23	50.366672000	-4.102861000	7.4		
T	2013-11-12 13:01:24	50.366644000	-4.102775000	7.5		
T	2013-11-12 13:01:25	50.366623000	-4.102697000	7.5		
T	2013-11-12 13:01:26	50.366602000	-4.102615000	7.5		
T	2013-11-12 13:01:27	50.366583000	-4.102523000	7.4		
T	2013-11-12 13:01:28	50.366565000	-4.102433000	7.4		
T	2013-11-12 13:01:29	50.366548000	-4.102340000	7.3		
T	2013-11-12 13:01:30	50.366532000	-4.102258000	7.2		
T	2013-11-12 13:01:31	50.366514000	-4.102175000	7.1		
T	2013-11-12 13:01:32	50.366499000	-4.102096000	7.0		
T	2013-11-12 13:01:33	50.366488000	-4.102022000	6.9		
T	2013-11-12 13:01:34	50.366473000	-4.101945000	6.7		
T	2013-11-12 13:01:35	50.366465000	-4.101876000	6.5		
T	2013-11-12 13:01:36	50.366469000	-4.101799000	6.3		
T	2013-11-12 13:01:37	50.366476000	-4.101717000	6.2		
T	2013-11-12 13:01:38	50.366486000	-4.101647000	6.0		
T	2013-11-12 13:01:39	50.366497000	-4.101572000	5.9		
T	2013-11-12 13:01:40	50.366510000	-4.101503000	5.8		
T	2013-11-12 13:01:41	50.366526000	-4.101444000	5.7		
T	2013-11-12 13:01:42	50.366541000	-4.101388000	5.7		
T	2013-11-12 13:02:24	50.366602000	-4.101355000	5.9		
T	2013-11-12 13:04:32	50.366609000	-4.101304000	5.8		
T	2013-11-12 13:04:35	50.366595000	-4.101234000	5.7		
T	2013-11-12 13:04:36	50.366588000	-4.101182000	5.7		
T	2013-11-12 13:04:37	50.366583000	-4.101126000	5.7		
T	2013-11-12 13:04:38	50.366587000	-4.101062000	5.8		
T	2013-11-12 13:04:39	50.366591000	-4.100990000	5.8		
T	2013-11-12 13:04:40	50.366597000	-4.100907000	5.9		
T	2013-11-12 13:04:41	50.366607000	-4.100818000	6.0		
T	2013-11-12 13:04:42	50.366621000	-4.100727000	6.1		
T	2013-11-12 13:04:43	50.366637000	-4.100632000	6.3		
T	2013-11-12 13:04:44	50.366656000	-4.100529000	6.4		
T	2013-11-12 13:04:45	50.366675000	-4.100429000	6.5		
T	2013-11-12 13:04:46	50.366695000	-4.100330000	6.7		
T	2013-11-12 13:04:47	50.366718000	-4.100229000	6.8		
T	2013-11-12 13:04:48	50.366746000	-4.100118000	6.9		
T	2013-11-12 13:04:49	50.366774000	-4.100011000	7.1		
T	2013-11-12 13:04:50	50.366805000	-4.099914000	7.2		
T	2013-11-12 13:04:51	50.366837000	-4.099812000	7.3		
